"AdvisoryNumber","Date","Lat","Long","Wind","Pres","Movement","Type","Name","Received","Forecaster"
"1","09/28/2016 11:00","13.4","60.7","60","1008","W at 21 MPH (275 deg)","Tropical Storm","Matthew","09/28/2016 11:01","Brown"
"1A","09/28/2016 14:00","13.6","61.3","60","1008","W at 20 MPH (275 deg)","Tropical Storm","Matthew","09/28/2016 13:49","Brown"
"2","09/28/2016 17:00","13.8","62.0","60","1008","W at 18 MPH (280 deg)","Tropical Storm","Matthew","09/28/2016 16:49","Brown"
"2A","09/28/2016 20:00","13.9","62.4","65","1004","W at 15 MPH (280 deg)","Tropical Storm","Matthew","09/28/2016 19:58","Avila"
"3","09/28/2016 23:00","13.9","63.1","65","1004","W at 15 MPH (270 deg)","Tropical Storm","Matthew","09/28/2016 22:58","Avila"
"3A","09/29/2016 02:00","13.9","64.0","65","1002","W at 16 MPH (270 deg)","Tropical Storm","Matthew","09/29/2016 01:49","Beven"
"4","09/29/2016 05:00","14.0","64.7","65","1002","W at 16 MPH (275 deg)","Tropical Storm","Matthew","09/29/2016 05:01","Beven"
"4A","09/29/2016 08:00","14.1","65.5","70","995","W at 13 MPH (275 deg)","Tropical Storm","Matthew","09/29/2016 08:01","Brown"
"5","09/29/2016 11:00","14.2","66.3","70","996","W at 15 MPH (275 deg)","Tropical Storm","Matthew","09/29/2016 11:07","Brown"
"5A","09/29/2016 14:00","14.2","67.0","75","993","W at 17 MPH (270 deg)","Hurricane","Matthew","09/29/2016 13:49","Brown/pasch"
"6","09/29/2016 17:00","14.1","67.8","75","993","W at 17 MPH (270 deg)","Hurricane","Matthew","09/29/2016 16:40","Brown/pasch"
"6A","09/29/2016 20:00","14.2","68.1","75","987","W at 15 MPH (270 deg)","Hurricane","Matthew","09/29/2016 19:58","Avila"
"7","09/29/2016 23:00","14.1","68.8","80","983","W at 14 MPH (270 deg)","Hurricane","Matthew","09/29/2016 23:06","Avila"
